;id_strony;tytul;typ_wydarzenia_lista;link_do_obrazka_lista;sciezka_do_pobranego_obrazka;obiekty;ulice;miasta;data_rozpoczecia;data_zakonczenia;godzina_rozpoczecia;czy_stale;hashtagi
2945;45536;Bajka o rybaku i złotej rybce;Muzyka klasyczna;http://media.krakow.travel/photos/57622/m.jpg;obrazy_wydarzen_karnet/45536.jpg;Opera Krakowska;ul. Lubicz 48;Kraków;2025-05-31;;13:30;;#muzyka #klasyczna
2946;59472;26. Letni Festiwal Opery Krakowskiej;Festiwale;http://media.krakow.travel/photos/73294/m.jpg;obrazy_wydarzen_karnet/59472.jpg;Opera Krakowska;ul. Lubicz 48;Kraków;2025-05-31;;11:00;;#festiwale
2149;38598;Kabaret Piwnica pod Baranami;Kabaret;http://media.krakow.travel/photos/48379/m.jpg;obrazy_wydarzen_karnet/38598.jpg;Piwnica pod Baranami;Rynek Główny 27;Kraków;2025-05-31;;20:00;;#kabaret
2949;52958;Niesamowite przygody dziesięciu skarpetek (czterech prawych i sześciu lewych);Spektakle teatralne;http://media.krakow.travel/photos/46436/m.jpg;obrazy_wydarzen_karnet/52958.jpg;Teatr Groteska;ul. Skarbowa 2;Kraków;2025-05-31;;16:00;;#spektakle #teatralne
2953;24108;Dzieci z Dworca ZOO;Spektakle teatralne;http://media.krakow.travel/photos/71762/m.jpg;obrazy_wydarzen_karnet/24108.jpg;Teatr Barakah;ul. Paulińska 28;Kraków;2025-05-31;;19:00;;#spektakle #teatralne
3099;52387;Narzeczony mojej żony;Spektakle teatralne;http://media.krakow.travel/photos/65218/m.jpg;obrazy_wydarzen_karnet/52387.jpg;Teatr Praska 52;ul. Praska 52;Kraków;2025-05-31;;19:00;;#spektakle #teatralne
2867;24108;Dzieci z Dworca ZOO;Spektakle teatralne;http://media.krakow.travel/photos/71762/m.jpg;obrazy_wydarzen_karnet/24108.jpg;Teatr Barakah;ul. Paulińska 28;Kraków;2025-05-31;;19:00;;#spektakle #teatralne
3129;42930;100 lat polskiej piosenki;Spektakle taneczne;http://media.krakow.travel/photos/54412/m.jpg;obrazy_wydarzen_karnet/42930.jpg;Teatr Cabaret w Krakowie;Krakowska 5;Kraków;2025-05-31;;19:00;;#spektakle #taneczne
2866;59833;Weekend z Pawłem Pawlikowskim w Kinie KIKA;Pokazy filmowe;http://media.krakow.travel/photos/73341/m.jpg;obrazy_wydarzen_karnet/59833.jpg;Kinokawiarnia KIKA;ul. Krasickiego 18;Kraków;2025-05-31;;18:00;;#pokazy #filmowe
2864;53088;Schron przeciwczasowy;Spektakle teatralne;http://media.krakow.travel/photos/65993/m.jpg;obrazy_wydarzen_karnet/53088.jpg;Narodowy Stary Teatr – Scena Kameralna;ul. Starowiślna 21;Kraków;2025-05-31;;18:00;;#spektakle #teatralne
2972;38419;Spóźnione odwiedziny;Spektakle teatralne;http://media.krakow.travel/photos/47726/m.jpg;obrazy_wydarzen_karnet/38419.jpg;Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin);pl. Świętego Ducha 2;Kraków;2025-05-31;;19:00;;#spektakle #teatralne
2851;59260;Małopolski Festiwal Komiksu 2025;Festiwale literackie;http://media.krakow.travel/photos/72717/m.jpg;obrazy_wydarzen_karnet/59260.jpg;Arteteka Wojewódzkiej Biblioteki Publicznej;ul. Rajska 12;Kraków;2025-05-31;2025-06-01;;;#festiwale #literackie
2852;59640;Spacer literacki szlakiem klasztornych bibliotek;Inne wydarzenia literackie;http://media.krakow.travel/photos/55829/m.jpg;obrazy_wydarzen_karnet/59640.jpg;;;Kraków;2025-05-31;;09:00;;#inne #wydarzenia #literackie
2853;59751;80 lat z książką, 80 lat z biblioteką!;W gminach Metropolii;http://media.krakow.travel/photos/73242/m.jpg;obrazy_wydarzen_karnet/59751.jpg;Mediateka – Biblioteka Miejska w Wieliczce;pl. Skulimowskiego 3;Wieliczka;2025-05-31;;10:00;;#WGminach #Metropolii
2854;59817;Andy Warhol. Dialog z pop-artem;Wystawy czasowe;http://media.krakow.travel/photos/73324/m.jpg;obrazy_wydarzen_karnet/59817.jpg;Małopolskie Centrum Nauki Cogiteon;ul. Stefana Steca 1;Kraków;2025-05-31;2025-08-29;10:00;;#wystawy #czasowe
2855;33451;Muzyka i magia;Muzyka klasyczna;http://media.krakow.travel/photos/55829/m.jpg;obrazy_wydarzen_karnet/33451.jpg;Opera Krakowska;ul. Lubicz 48;Kraków;2025-05-31;;11:00;;#muzyka #klasyczna
3053;38598;Kabaret Piwnica pod Baranami;Kabaret;http://media.krakow.travel/photos/48379/m.jpg;obrazy_wydarzen_karnet/38598.jpg;Piwnica pod Baranami;Rynek Główny 27;Kraków;2025-05-31;;20:00;;#kabaret
2856;59472;26. Letni Festiwal Opery Krakowskiej;Festiwale;http://media.krakow.travel/photos/73294/m.jpg;obrazy_wydarzen_karnet/59472.jpg;Opera Krakowska;ul. Lubicz 48;Kraków;2025-05-31;;11:00;;#festiwale
2857;59733;Lato nad Bagrami 2025;Widowiska plenerowe i happeningi;http://media.krakow.travel/photos/73223/m.jpg;obrazy_wydarzen_karnet/59733.jpg;Zalew Bagry;ul. Kozia 30;Kraków;2025-05-31;;11:00;;#widowiska #plenerowe #happeningi
2858;45536;Bajka o rybaku i złotej rybce;Muzyka klasyczna;http://media.krakow.travel/photos/57622/m.jpg;obrazy_wydarzen_karnet/45536.jpg;Opera Krakowska;ul. Lubicz 48;Kraków;2025-05-31;;13:30;;#muzyka #klasyczna
2859;52958;Niesamowite przygody dziesięciu skarpetek (czterech prawych i sześciu lewych);Spektakle teatralne;http://media.krakow.travel/photos/46436/m.jpg;obrazy_wydarzen_karnet/52958.jpg;Teatr Groteska;ul. Skarbowa 2;Kraków;2025-05-31;;16:00;;#spektakle #teatralne
2860;59783;XXXIII Międzynarodowy Festiwal Letnie Koncerty Organowe;Festiwale;http://media.krakow.travel/photos/73292/m.jpg;obrazy_wydarzen_karnet/59783.jpg;Opactwo oo. Benedyktynów w Tyńcu;ul. Benedyktyńska 37;Kraków;2025-05-31;;16:00;;#festiwale
2861;56535;Śpiewaj mi, bo chcę;Spektakle teatralne;http://media.krakow.travel/photos/69906/m.jpg;obrazy_wydarzen_karnet/56535.jpg;Teatr Ludowy – Scena Pod Ratuszem;Rynek Główny 1;Kraków;2025-05-31;;16:30;;#spektakle #teatralne
2862;57321;Medioci;Spektakle teatralne;http://media.krakow.travel/photos/70758/m.jpg;obrazy_wydarzen_karnet/57321.jpg;Teatr Szczęście;os. Zielone 9;Kraków;2025-05-31;;17:00;;#spektakle #teatralne
2863;59803;Dzień Wolności i Samorządności w NCK;Pozostałe;http://media.krakow.travel/photos/73311/m.jpg;obrazy_wydarzen_karnet/59803.jpg;Nowohuckie Centrum Kultury;al. Jana Pawła II 232;Kraków;2025-05-31;;17:00;;#pozostałe
2865;59344;10 lat Variété;Spektakle teatralne;http://media.krakow.travel/photos/72793/m.jpg;obrazy_wydarzen_karnet/59344.jpg;Krakowski Teatr Variété;ul. Grzegórzecka 71;Kraków;2025-05-31;;18:00;;#spektakle #teatralne
3496;59817;Andy Warhol. Dialog z pop-artem;Wystawy czasowe;http://media.krakow.travel/photos/73324/m.jpg;obrazy_wydarzen_karnet/59817.jpg;Małopolskie Centrum Nauki Cogiteon;ul. Stefana Steca 1;Kraków;2025-05-31;2025-08-29;10:00;;#wystawy #czasowe
2738;52387;Narzeczony mojej żony;Spektakle teatralne;http://media.krakow.travel/photos/65218/m.jpg;obrazy_wydarzen_karnet/52387.jpg;Teatr Praska 52;ul. Praska 52;Kraków;2025-05-31;;19:00;;#spektakle #teatralne
2974;56535;Śpiewaj mi, bo chcę;Spektakle teatralne;http://media.krakow.travel/photos/69906/m.jpg;obrazy_wydarzen_karnet/56535.jpg;Teatr Ludowy – Scena Pod Ratuszem;Rynek Główny 1;Kraków;2025-05-31;;16:30;;#spektakle #teatralne
2480;54105;Kraków na okrągło – spacery z przewodnikami;Spacery i zwiedzanie;http://media.krakow.travel/photos/69798/m.jpg;obrazy_wydarzen_karnet/54105.jpg;;;Kraków;2025-05-31;;11:00;;#spacery #zwiedzanie
3505;59472;26. Letni Festiwal Opery Krakowskiej;Festiwale;http://media.krakow.travel/photos/73294/m.jpg;obrazy_wydarzen_karnet/59472.jpg;Opera Krakowska;ul. Lubicz 48;Kraków;2025-05-31;;11:00;;#festiwale
3951;59817;Andy Warhol. Dialog z pop-artem;Wystawy czasowe;http://media.krakow.travel/photos/73324/m.jpg;obrazy_wydarzen_karnet/59817.jpg;Małopolskie Centrum Nauki Cogiteon;ul. Stefana Steca 1;Kraków;2025-05-31;2025-08-29;10:00;;#wystawy #czasowe
2357;42930;100 lat polskiej piosenki;Spektakle taneczne;http://media.krakow.travel/photos/54412/m.jpg;obrazy_wydarzen_karnet/42930.jpg;Teatr Cabaret w Krakowie;Krakowska 5;Kraków;2025-05-31;;19:00;;#spektakle #taneczne
2352;38598;Kabaret Piwnica pod Baranami;Kabaret;http://media.krakow.travel/photos/48379/m.jpg;obrazy_wydarzen_karnet/38598.jpg;Piwnica pod Baranami;Rynek Główny 27;Kraków;2025-05-31;;20:00;;#kabaret
2960;59783;XXXIII Międzynarodowy Festiwal Letnie Koncerty Organowe;Festiwale;http://media.krakow.travel/photos/73292/m.jpg;obrazy_wydarzen_karnet/59783.jpg;Opactwo oo. Benedyktynów w Tyńcu;ul. Benedyktyńska 37;Kraków;2025-05-31;;16:00;;#festiwale
267;52958;Niesamowite przygody dziesięciu skarpetek (czterech prawych i sześciu lewych);Spektakle teatralne;http://media.krakow.travel/photos/46436/m.jpg;obrazy_wydarzen_karnet/52958.jpg;Teatr Groteska;ul. Skarbowa 2;Kraków;2025-05-31;;16:00;;#spektakle #teatralne
2335;58313;Zwiedzanie teatru z przewodnikiem;Spacery i zwiedzanie;http://media.krakow.travel/photos/71735/m.jpg;obrazy_wydarzen_karnet/58313.jpg;Teatr im. Juliusza Słowackiego;pl. Świętego Ducha 1;Kraków;2025-05-31;;09:30;;#spacery #zwiedzanie
2633;59372;Spotkanie;Spektakle teatralne;http://media.krakow.travel/photos/72824/m.jpg;obrazy_wydarzen_karnet/59372.jpg;Klub Kazimierz;ul. Krakowska 13/18;Kraków;2025-05-31;;19:00;;#spektakle #teatralne
2159;45536;Bajka o rybaku i złotej rybce;Muzyka klasyczna;http://media.krakow.travel/photos/57622/m.jpg;obrazy_wydarzen_karnet/45536.jpg;Opera Krakowska;ul. Lubicz 48;Kraków;2025-05-31;;13:30;;#muzyka #klasyczna
1194;38419;Spóźnione odwiedziny;Spektakle teatralne;http://media.krakow.travel/photos/47726/m.jpg;obrazy_wydarzen_karnet/38419.jpg;Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin);pl. Świętego Ducha 2;Kraków;2025-05-31;;19:00;;#spektakle #teatralne
2967;53088;Schron przeciwczasowy;Spektakle teatralne;http://media.krakow.travel/photos/65993/m.jpg;obrazy_wydarzen_karnet/53088.jpg;Narodowy Stary Teatr – Scena Kameralna;ul. Starowiślna 21;Kraków;2025-05-31;;18:00;;#spektakle #teatralne
1188;52958;Niesamowite przygody dziesięciu skarpetek (czterech prawych i sześciu lewych);Spektakle teatralne;http://media.krakow.travel/photos/46436/m.jpg;obrazy_wydarzen_karnet/52958.jpg;Teatr Groteska;ul. Skarbowa 2;Kraków;2025-05-31;;16:00;;#spektakle #teatralne
1871;53439;Przygody Tomka Sawyera;Spektakle teatralne;http://media.krakow.travel/photos/69499/m.jpg;obrazy_wydarzen_karnet/53439.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-01;;11:00;;#spektakle #teatralne
2973;49145;Nick Cave. Ballady kochanków i morderców;Spektakle teatralne;http://media.krakow.travel/photos/61674/m.jpg;obrazy_wydarzen_karnet/49145.jpg;Pod Jaszczurami;Rynek Główny 8;Kraków;2025-06-01;;19:00;;#spektakle #teatralne
2971;56500;MET Opera w Kinie Kijów;Pokazy filmowe;http://media.krakow.travel/photos/69867/m.jpg;obrazy_wydarzen_karnet/56500.jpg;Kino Kijów;al. Krasińskiego 34;Kraków;2025-06-01;;18:55;;#pokazy #filmowe
744;47990;O mało co...;Spektakle teatralne;http://media.krakow.travel/photos/60364/m.jpg;obrazy_wydarzen_karnet/47990.jpg;Centrum Kongresowe ICE Kraków;ul. Konopnickiej 17;Kraków;2025-06-01;;15:00;;#spektakle #teatralne
3952;59719;Sto nocnych zjaw. Duchy, demony i upiory w sztuce Japonii i Zachodu;Wystawy czasowe;http://media.krakow.travel/photos/73205/m.jpg;obrazy_wydarzen_karnet/59719.jpg;Muzeum Sztuki i Techniki Japońskiej Manggha;ul. Konopnickiej 26;Kraków;2025-06-01;2025-08-31;;;#wystawy #czasowe
2513;53166;Gino i Suzi. Kucharze;Spektakle teatralne;http://media.krakow.travel/photos/23339/m.jpg;obrazy_wydarzen_karnet/53166.jpg;Teatr Praska 52;ul. Praska 52;Kraków;2025-06-01;;11:00;;#spektakle #teatralne
2964;55695;Twój problem, nasza głowa – komediowe show improwizowane;Inne przedstawienia;http://media.krakow.travel/photos/68998/m.jpg;obrazy_wydarzen_karnet/55695.jpg;Buda;ul. Czapskich 2;Kraków;2025-06-01;;17:00;;#inne #przedstawienia
2625;47990;O mało co...;Spektakle teatralne;http://media.krakow.travel/photos/60364/m.jpg;obrazy_wydarzen_karnet/47990.jpg;Centrum Kongresowe ICE Kraków;ul. Konopnickiej 17;Kraków;2025-06-01;;15:00;;#spektakle #teatralne
2959;59525;Bajkowy Dzień Dziecka z CKiS;W gminach Metropolii;http://media.krakow.travel/photos/73017/m.jpg;obrazy_wydarzen_karnet/59525.jpg;Park Miejski im. marsz. Józefa Piłsudskiego;ul. Kublińskiego;Skawina;2025-06-01;;15:00;;#WGminach #Metropolii
2694;53439;Przygody Tomka Sawyera;Spektakle teatralne;http://media.krakow.travel/photos/69499/m.jpg;obrazy_wydarzen_karnet/53439.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-01;;11:00;;#spektakle #teatralne
2041;56500;MET Opera w Kinie Kijów;Pokazy filmowe;http://media.krakow.travel/photos/69867/m.jpg;obrazy_wydarzen_karnet/56500.jpg;Kino Kijów;al. Krasińskiego 34;Kraków;2025-06-01;;18:55;;#pokazy #filmowe
2970;59834;Monty Python i Święty Graal. Pokazy specjalne w Kinie Agrafka;Pokazy filmowe;http://media.krakow.travel/photos/73342/m.jpg;obrazy_wydarzen_karnet/59834.jpg;Kino Agrafka;ul. Krowoderska 8;Kraków;2025-06-01;;18:00;;#pokazy #filmowe
2958;47990;O mało co...;Spektakle teatralne;http://media.krakow.travel/photos/60364/m.jpg;obrazy_wydarzen_karnet/47990.jpg;Centrum Kongresowe ICE Kraków;ul. Konopnickiej 17;Kraków;2025-06-01;;15:00;;#spektakle #teatralne
3497;59719;Sto nocnych zjaw. Duchy, demony i upiory w sztuce Japonii i Zachodu;Wystawy czasowe;http://media.krakow.travel/photos/73205/m.jpg;obrazy_wydarzen_karnet/59719.jpg;Muzeum Sztuki i Techniki Japońskiej Manggha;ul. Konopnickiej 26;Kraków;2025-06-01;2025-08-31;;;#wystawy #czasowe
2951;53439;Przygody Tomka Sawyera;Spektakle teatralne;http://media.krakow.travel/photos/69499/m.jpg;obrazy_wydarzen_karnet/53439.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-01;;11:00;;#spektakle #teatralne
2105;56708;Sei Solo – muzyka skrzypcowa J.S. Bacha i jemu współczesnych;Muzyka klasyczna;http://media.krakow.travel/photos/70093/m.jpg;obrazy_wydarzen_karnet/56708.jpg;Aula Florianka;ul. Basztowa 8;Kraków;2025-06-01;;;;#muzyka #klasyczna
2948;59832;Piknik na Dzień Dziecka w Ogrodzie Doświadczeń;Widowiska plenerowe i happeningi;http://media.krakow.travel/photos/73340/m.jpg;obrazy_wydarzen_karnet/59832.jpg;Ogród Doświadczeń im. Stanisława Lema;park Lotników Polskich;al. Pokoju 68;2025-06-01;;10:00;;#widowiska #plenerowe #happeningi
2947;59719;Sto nocnych zjaw. Duchy, demony i upiory w sztuce Japonii i Zachodu;Wystawy czasowe;http://media.krakow.travel/photos/73205/m.jpg;obrazy_wydarzen_karnet/59719.jpg;Muzeum Sztuki i Techniki Japońskiej Manggha;ul. Konopnickiej 26;Kraków;2025-06-01;2025-08-31;;;#wystawy #czasowe
1401;56500;MET Opera w Kinie Kijów;Pokazy filmowe;http://media.krakow.travel/photos/69867/m.jpg;obrazy_wydarzen_karnet/56500.jpg;Kino Kijów;al. Krasińskiego 34;Kraków;2025-06-01;;18:55;;#pokazy #filmowe
2950;53166;Gino i Suzi. Kucharze;Spektakle teatralne;http://media.krakow.travel/photos/23339/m.jpg;obrazy_wydarzen_karnet/53166.jpg;Teatr Praska 52;ul. Praska 52;Kraków;2025-06-01;;11:00;;#spektakle #teatralne
2968;56708;Sei Solo – muzyka skrzypcowa J.S. Bacha i jemu współczesnych;Muzyka klasyczna;http://media.krakow.travel/photos/70093/m.jpg;obrazy_wydarzen_karnet/56708.jpg;Aula Florianka;ul. Basztowa 8;Kraków;2025-06-01;;;;#muzyka #klasyczna
869;55695;Twój problem, nasza głowa – komediowe show improwizowane;Inne przedstawienia;http://media.krakow.travel/photos/68998/m.jpg;obrazy_wydarzen_karnet/55695.jpg;Buda;ul. Czapskich 2;Kraków;2025-06-01;;17:00;;#inne #przedstawienia
2169;55695;Twój problem, nasza głowa – komediowe show improwizowane;Inne przedstawienia;http://media.krakow.travel/photos/68998/m.jpg;obrazy_wydarzen_karnet/55695.jpg;Buda;ul. Czapskich 2;Kraków;2025-06-01;;17:00;;#inne #przedstawienia
2944;59684;Projekt 51. Wystawa grafik inspirowanych twórczością Georges’a Pereca;Wystawy czasowe;http://media.krakow.travel/photos/73157/m.jpg;obrazy_wydarzen_karnet/59684.jpg;Lokator;ul. Mostowa 1;Kraków;2025-06-01;2025-06-30;;;#wystawy #czasowe
2356;56500;MET Opera w Kinie Kijów;Pokazy filmowe;http://media.krakow.travel/photos/69867/m.jpg;obrazy_wydarzen_karnet/56500.jpg;Kino Kijów;al. Krasińskiego 34;Kraków;2025-06-01;;18:55;;#pokazy #filmowe
1542;55695;Twój problem, nasza głowa – komediowe show improwizowane;Inne przedstawienia;http://media.krakow.travel/photos/68998/m.jpg;obrazy_wydarzen_karnet/55695.jpg;Buda;ul. Czapskich 2;Kraków;2025-06-01;;17:00;;#inne #przedstawienia
2952;59835;Czytamy i oglądamy w Agrafce. Felek i Tola ratują las;Pokazy filmowe;http://media.krakow.travel/photos/73329/m.jpg;obrazy_wydarzen_karnet/59835.jpg;Kino Agrafka;ul. Krowoderska 8;Kraków;2025-06-01;;11:00;;#pokazy #filmowe
2954;31377;Rytmy Światła Błyski;Spektakle teatralne;http://media.krakow.travel/photos/73231/m.jpg;obrazy_wydarzen_karnet/31377.jpg;Teatr Figurki;ul. Sławkowska 14;Kraków;2025-06-01;;12:00;;#spektakle #teatralne
2956;59836;Mała KIKA. Dzień Dziecka z polską animacją;Pokazy filmowe;http://media.krakow.travel/photos/73343/m.jpg;obrazy_wydarzen_karnet/59836.jpg;Kinokawiarnia KIKA;ul. Krasickiego 18;Kraków;2025-06-01;;12:00;;#pokazy #filmowe
1450;53439;Przygody Tomka Sawyera;Spektakle teatralne;http://media.krakow.travel/photos/69499/m.jpg;obrazy_wydarzen_karnet/53439.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-01;;11:00;;#spektakle #teatralne
1874;58594;Tysiąclecie Korony Polskiej;Spotkania i slajdowiska;http://media.krakow.travel/photos/72006/m.jpg;obrazy_wydarzen_karnet/58594.jpg;Collegium Novum UJ;ul. Gołębia 24;Kraków;2025-06-02;;16:00;;#spotkania #slajdowiska
2983;59741;Komediowy pokaz powarsztatowy. Grupa Janka;Kabaret;http://media.krakow.travel/photos/73232/m.jpg;obrazy_wydarzen_karnet/59741.jpg;Buda;ul. Czapskich 2;Kraków;2025-06-02;;20:00;;#kabaret
2981;59712;Książka receptą na życie. Spotkanie z Elżbietą Łapczyńską i Marcinem Wilkiem;Spotkania i wykłady literackie;http://media.krakow.travel/photos/73196/m.jpg;obrazy_wydarzen_karnet/59712.jpg;Antykwariat Abecadło;ul. Kościuszki 18;Kraków;2025-06-02;;18:00;;#spotkania #wykłady #literackie
2982;59766;Mieszczanie, dekadenci, literaci. O powieści Buddenbrokowie;Spotkania i wykłady literackie;http://media.krakow.travel/photos/73273/m.jpg;obrazy_wydarzen_karnet/59766.jpg;Goethe-Institut Krakau;ul. Podgórska 34;Kraków;2025-06-02;;18:00;;#spotkania #wykłady #literackie
2980;58594;Tysiąclecie Korony Polskiej;Spotkania i slajdowiska;http://media.krakow.travel/photos/72006/m.jpg;obrazy_wydarzen_karnet/58594.jpg;Collegium Novum UJ;ul. Gołębia 24;Kraków;2025-06-02;;16:00;;#spotkania #slajdowiska
1315;58594;Tysiąclecie Korony Polskiej;Spotkania i slajdowiska;http://media.krakow.travel/photos/72006/m.jpg;obrazy_wydarzen_karnet/58594.jpg;Collegium Novum UJ;ul. Gołębia 24;Kraków;2025-06-02;;16:00;;#spotkania #slajdowiska
2802;58594;Tysiąclecie Korony Polskiej;Spotkania i slajdowiska;http://media.krakow.travel/photos/72006/m.jpg;obrazy_wydarzen_karnet/58594.jpg;Collegium Novum UJ;ul. Gołębia 24;Kraków;2025-06-02;;16:00;;#spotkania #slajdowiska
2990;57234;Sługa dwóch panów;Spektakle teatralne;http://media.krakow.travel/photos/70671/m.jpg;obrazy_wydarzen_karnet/57234.jpg;Krakowski Teatr Scena STU;al. Krasińskiego 16;Kraków;2025-06-03;;19:00;;#spektakle #teatralne
2987;59651;Jak zostałem prezesem;W gminach Metropolii;http://media.krakow.travel/photos/73133/m.jpg;obrazy_wydarzen_karnet/59651.jpg;Biblioteka Publiczna Gminy Michałowice;pl. Piłsudskiego 2;Michałowice;2025-06-03;2025-06-18;18:00;;#WGminach #Metropolii
2992;59831;Watch Out! It's Koraly Dimitriadis! Spotkanie z autorką i Open Mic;Spotkania i wykłady literackie;http://media.krakow.travel/photos/73339/m.jpg;obrazy_wydarzen_karnet/59831.jpg;Café Szafé;ul. Felicjanek 10;Kraków;2025-06-03;;19:00;;#spotkania #wykłady #literackie
2993;971;Szalone nożyczki;Spektakle teatralne;http://media.krakow.travel/photos/54758/m.jpg;obrazy_wydarzen_karnet/971.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-03;;19:15;;#spektakle #teatralne
2994;59037;Me First and the Gimme Gimmes w Hype Parku;Muzyka rozrywkowa;http://media.krakow.travel/photos/72482/m.jpg;obrazy_wydarzen_karnet/59037.jpg;Hype Park / Kamienna12;ul. Kamienna 12;Kraków;2025-06-03;;19:30;;#muzyka #rozrywkowa
2995;59708;Nytt Land w Gwarku;Muzyka rozrywkowa;http://media.krakow.travel/photos/73192/m.jpg;obrazy_wydarzen_karnet/59708.jpg;Gwarek;ul. Reymonta 17;Kraków;2025-06-03;;20:00;;#muzyka #rozrywkowa
2988;59826;Wałęsa w Kolonos (online);Spektakle teatralne;http://media.krakow.travel/photos/48719/m.jpg;obrazy_wydarzen_karnet/59826.jpg;Teatr Łaźnia Nowa;os. Szkolne 25;Kraków;2025-06-03;;18:00;;#spektakle #teatralne
2984;59837;Kino Bambino. Wszystkie odcienie światła;Cykle filmowe;http://media.krakow.travel/photos/73296/m.jpg;obrazy_wydarzen_karnet/59837.jpg;Kinokawiarnia KIKA;ul. Krasickiego 18;Kraków;2025-06-03;;11:00;;#cykle #filmowe
2986;57889;Królewna Śnieżka;Spektakle taneczne;http://media.krakow.travel/photos/71332/m.jpg;obrazy_wydarzen_karnet/57889.jpg;Krakowski Teatr Variété;ul. Grzegórzecka 71;Kraków;2025-06-03;;18:00;;#spektakle #taneczne
2991;59772;Ostatnia nadzieja;Spektakle teatralne;http://media.krakow.travel/photos/73279/m.jpg;obrazy_wydarzen_karnet/59772.jpg;Teatr Łaźnia Nowa;os. Szkolne 25;Kraków;2025-06-03;;19:00;;#spektakle #teatralne
2985;54074;Billie Eilish w Tauron Arenie Kraków;Muzyka rozrywkowa;http://media.krakow.travel/photos/67107/m.jpg;obrazy_wydarzen_karnet/54074.jpg;TAURON Arena Kraków;ul. Lema 7;Kraków;2025-06-03;;18:00;;#muzyka #rozrywkowa
2989;50406;Sztuka (Teatr Ludowy);Spektakle teatralne;http://media.krakow.travel/photos/63036/m.jpg;obrazy_wydarzen_karnet/50406.jpg;Teatr Ludowy – Scena Pod Ratuszem;Rynek Główny 1;Kraków;2025-06-03;;19:00;;#spektakle #teatralne
