id_strony,tytul,typ_wydarzenia_lista,link_do_obrazka_lista,sciezka_do_pobranego_obrazka,obiekty,ulice,miasta,data_rozpoczecia,data_zakonczenia,godzina_rozpoczecia,czy_stale,hashtagi,likes,info_clicks,shares,watch_time,saves,score
2945,45536,Bajka o rybaku i złotej rybce,Muzyka klasyczna,http://media.krakow.travel/photos/57622/m.jpg,obrazy_wydarzen_karnet/45536.jpg,Opera Krakowska,ul. Lubicz 48,Kraków,2025-05-31,,13:30,,#muzyka #klasyczna,49,20,9,52,2,91.60000000000001
2946,59472,26. Letni Festiwal Opery Krakowskiej,Festiwale,http://media.krakow.travel/photos/73294/m.jpg,obrazy_wydarzen_karnet/59472.jpg,Opera Krakowska,ul. Lubicz 48,Kraków,2025-05-31,,11:00,,#festiwale,43,22,9,12,4,71.6
2149,38598,Kabaret Piwnica pod Baranami,Kabaret,http://media.krakow.travel/photos/48379/m.jpg,obrazy_wydarzen_karnet/38598.jpg,Piwnica pod Baranami,Rynek Główny 27,Kraków,2025-05-31,,20:00,,#kabaret,52,18,9,33,5,86.00000000000001
2949,52958,Niesamowite przygody dziesięciu skarpetek (czterech prawych i sześciu lewych),Spektakle teatralne,http://media.krakow.travel/photos/46436/m.jpg,obrazy_wydarzen_karnet/52958.jpg,Teatr Groteska,ul. Skarbowa 2,Kraków,2025-05-31,,16:00,,#spektakle #teatralne,52,11,13,23,2,78.2
2953,24108,Dzieci z Dworca ZOO,Spektakle teatralne,http://media.krakow.travel/photos/71762/m.jpg,obrazy_wydarzen_karnet/24108.jpg,Teatr Barakah,ul. Paulińska 28,Kraków,2025-05-31,,19:00,,#spektakle #teatralne,46,19,10,26,2,78.00000000000001
3099,52387,Narzeczony mojej żony,Spektakle teatralne,http://media.krakow.travel/photos/65218/m.jpg,obrazy_wydarzen_karnet/52387.jpg,Teatr Praska 52,ul. Praska 52,Kraków,2025-05-31,,19:00,,#spektakle #teatralne,54,19,8,52,4,95.6
2867,24108,Dzieci z Dworca ZOO,Spektakle teatralne,http://media.krakow.travel/photos/71762/m.jpg,obrazy_wydarzen_karnet/24108.jpg,Teatr Barakah,ul. Paulińska 28,Kraków,2025-05-31,,19:00,,#spektakle #teatralne,40,15,10,92,6,96.00000000000001
3129,42930,100 lat polskiej piosenki,Spektakle taneczne,http://media.krakow.travel/photos/54412/m.jpg,obrazy_wydarzen_karnet/42930.jpg,Teatr Cabaret w Krakowie,Krakowska 5,Kraków,2025-05-31,,19:00,,#spektakle #taneczne,45,20,10,90,4,103.8
2866,59833,Weekend z Pawłem Pawlikowskim w Kinie KIKA,Pokazy filmowe,http://media.krakow.travel/photos/73341/m.jpg,obrazy_wydarzen_karnet/59833.jpg,Kinokawiarnia KIKA,ul. Krasickiego 18,Kraków,2025-05-31,,18:00,,#pokazy #filmowe,46,17,9,59,6,89.8
2864,53088,Schron przeciwczasowy,Spektakle teatralne,http://media.krakow.travel/photos/65993/m.jpg,obrazy_wydarzen_karnet/53088.jpg,Narodowy Stary Teatr – Scena Kameralna,ul. Starowiślna 21,Kraków,2025-05-31,,18:00,,#spektakle #teatralne,51,12,10,35,8,82.19999999999999
2972,38419,Spóźnione odwiedziny,Spektakle teatralne,http://media.krakow.travel/photos/47726/m.jpg,obrazy_wydarzen_karnet/38419.jpg,Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin),pl. Świętego Ducha 2,Kraków,2025-05-31,,19:00,,#spektakle #teatralne,64,12,10,50,7,101.0
2851,59260,Małopolski Festiwal Komiksu 2025,Festiwale literackie,http://media.krakow.travel/photos/72717/m.jpg,obrazy_wydarzen_karnet/59260.jpg,Arteteka Wojewódzkiej Biblioteki Publicznej,ul. Rajska 12,Kraków,2025-05-31,2025-06-01,,,#festiwale #literackie,52,23,5,82,8,107.80000000000001
2852,59640,Spacer literacki szlakiem klasztornych bibliotek,Inne wydarzenia literackie,http://media.krakow.travel/photos/55829/m.jpg,obrazy_wydarzen_karnet/59640.jpg,,,Kraków,2025-05-31,,09:00,,#inne #wydarzenia #literackie,38,20,15,26,5,74.4
2853,59751,"80 lat z książką, 80 lat z biblioteką!",W gminach Metropolii,http://media.krakow.travel/photos/73242/m.jpg,obrazy_wydarzen_karnet/59751.jpg,Mediateka – Biblioteka Miejska w Wieliczce,pl. Skulimowskiego 3,Wieliczka,2025-05-31,,10:00,,#WGminach #Metropolii,33,24,8,48,1,76.4
2854,59817,Andy Warhol. Dialog z pop-artem,Wystawy czasowe,http://media.krakow.travel/photos/73324/m.jpg,obrazy_wydarzen_karnet/59817.jpg,Małopolskie Centrum Nauki Cogiteon,ul. Stefana Steca 1,Kraków,2025-05-31,2025-08-29,10:00,,#wystawy #czasowe,48,18,8,31,5,80.60000000000001
2855,33451,Muzyka i magia,Muzyka klasyczna,http://media.krakow.travel/photos/55829/m.jpg,obrazy_wydarzen_karnet/33451.jpg,Opera Krakowska,ul. Lubicz 48,Kraków,2025-05-31,,11:00,,#muzyka #klasyczna,58,22,10,26,5,93.0
3053,38598,Kabaret Piwnica pod Baranami,Kabaret,http://media.krakow.travel/photos/48379/m.jpg,obrazy_wydarzen_karnet/38598.jpg,Piwnica pod Baranami,Rynek Główny 27,Kraków,2025-05-31,,20:00,,#kabaret,45,26,9,46,7,91.00000000000001
2856,59472,26. Letni Festiwal Opery Krakowskiej,Festiwale,http://media.krakow.travel/photos/73294/m.jpg,obrazy_wydarzen_karnet/59472.jpg,Opera Krakowska,ul. Lubicz 48,Kraków,2025-05-31,,11:00,,#festiwale,41,24,12,35,2,81.80000000000001
2857,59733,Lato nad Bagrami 2025,Widowiska plenerowe i happeningi,http://media.krakow.travel/photos/73223/m.jpg,obrazy_wydarzen_karnet/59733.jpg,Zalew Bagry,ul. Kozia 30,Kraków,2025-05-31,,11:00,,#widowiska #plenerowe #happeningi,56,26,11,60,6,108.6
2858,45536,Bajka o rybaku i złotej rybce,Muzyka klasyczna,http://media.krakow.travel/photos/57622/m.jpg,obrazy_wydarzen_karnet/45536.jpg,Opera Krakowska,ul. Lubicz 48,Kraków,2025-05-31,,13:30,,#muzyka #klasyczna,54,20,10,35,6,91.2
2859,52958,Niesamowite przygody dziesięciu skarpetek (czterech prawych i sześciu lewych),Spektakle teatralne,http://media.krakow.travel/photos/46436/m.jpg,obrazy_wydarzen_karnet/52958.jpg,Teatr Groteska,ul. Skarbowa 2,Kraków,2025-05-31,,16:00,,#spektakle #teatralne,56,12,5,43,3,86.39999999999999
2860,59783,XXXIII Międzynarodowy Festiwal Letnie Koncerty Organowe,Festiwale,http://media.krakow.travel/photos/73292/m.jpg,obrazy_wydarzen_karnet/59783.jpg,Opactwo oo. Benedyktynów w Tyńcu,ul. Benedyktyńska 37,Kraków,2025-05-31,,16:00,,#festiwale,47,29,8,12,5,80.8
2861,56535,"Śpiewaj mi, bo chcę",Spektakle teatralne,http://media.krakow.travel/photos/69906/m.jpg,obrazy_wydarzen_karnet/56535.jpg,Teatr Ludowy – Scena Pod Ratuszem,Rynek Główny 1,Kraków,2025-05-31,,16:30,,#spektakle #teatralne,59,21,10,84,7,116.80000000000001
2862,57321,Medioci,Spektakle teatralne,http://media.krakow.travel/photos/70758/m.jpg,obrazy_wydarzen_karnet/57321.jpg,Teatr Szczęście,os. Zielone 9,Kraków,2025-05-31,,17:00,,#spektakle #teatralne,46,13,13,85,4,99.0
2863,59803,Dzień Wolności i Samorządności w NCK,Pozostałe,http://media.krakow.travel/photos/73311/m.jpg,obrazy_wydarzen_karnet/59803.jpg,Nowohuckie Centrum Kultury,al. Jana Pawła II 232,Kraków,2025-05-31,,17:00,,#pozostałe,46,23,8,23,3,79.0
2865,59344,10 lat Variété,Spektakle teatralne,http://media.krakow.travel/photos/72793/m.jpg,obrazy_wydarzen_karnet/59344.jpg,Krakowski Teatr Variété,ul. Grzegórzecka 71,Kraków,2025-05-31,,18:00,,#spektakle #teatralne,55,17,10,24,2,84.6
3496,59817,Andy Warhol. Dialog z pop-artem,Wystawy czasowe,http://media.krakow.travel/photos/73324/m.jpg,obrazy_wydarzen_karnet/59817.jpg,Małopolskie Centrum Nauki Cogiteon,ul. Stefana Steca 1,Kraków,2025-05-31,2025-08-29,10:00,,#wystawy #czasowe,60,16,6,54,4,98.8
2738,52387,Narzeczony mojej żony,Spektakle teatralne,http://media.krakow.travel/photos/65218/m.jpg,obrazy_wydarzen_karnet/52387.jpg,Teatr Praska 52,ul. Praska 52,Kraków,2025-05-31,,19:00,,#spektakle #teatralne,40,29,14,32,8,86.0
2974,56535,"Śpiewaj mi, bo chcę",Spektakle teatralne,http://media.krakow.travel/photos/69906/m.jpg,obrazy_wydarzen_karnet/56535.jpg,Teatr Ludowy – Scena Pod Ratuszem,Rynek Główny 1,Kraków,2025-05-31,,16:30,,#spektakle #teatralne,56,19,14,59,9,105.00000000000001
2480,54105,Kraków na okrągło – spacery z przewodnikami,Spacery i zwiedzanie,http://media.krakow.travel/photos/69798/m.jpg,obrazy_wydarzen_karnet/54105.jpg,,,Kraków,2025-05-31,,11:00,,#spacery #zwiedzanie,56,18,6,122,11,125.00000000000001
3505,59472,26. Letni Festiwal Opery Krakowskiej,Festiwale,http://media.krakow.travel/photos/73294/m.jpg,obrazy_wydarzen_karnet/59472.jpg,Opera Krakowska,ul. Lubicz 48,Kraków,2025-05-31,,11:00,,#festiwale,50,22,10,24,4,83.99999999999999
3951,59817,Andy Warhol. Dialog z pop-artem,Wystawy czasowe,http://media.krakow.travel/photos/73324/m.jpg,obrazy_wydarzen_karnet/59817.jpg,Małopolskie Centrum Nauki Cogiteon,ul. Stefana Steca 1,Kraków,2025-05-31,2025-08-29,10:00,,#wystawy #czasowe,46,10,16,89,8,100.8
2357,42930,100 lat polskiej piosenki,Spektakle taneczne,http://media.krakow.travel/photos/54412/m.jpg,obrazy_wydarzen_karnet/42930.jpg,Teatr Cabaret w Krakowie,Krakowska 5,Kraków,2025-05-31,,19:00,,#spektakle #taneczne,61,21,7,20,2,90.4
2352,38598,Kabaret Piwnica pod Baranami,Kabaret,http://media.krakow.travel/photos/48379/m.jpg,obrazy_wydarzen_karnet/38598.jpg,Piwnica pod Baranami,Rynek Główny 27,Kraków,2025-05-31,,20:00,,#kabaret,48,20,5,26,2,77.80000000000001
2960,59783,XXXIII Międzynarodowy Festiwal Letnie Koncerty Organowe,Festiwale,http://media.krakow.travel/photos/73292/m.jpg,obrazy_wydarzen_karnet/59783.jpg,Opactwo oo. Benedyktynów w Tyńcu,ul. Benedyktyńska 37,Kraków,2025-05-31,,16:00,,#festiwale,44,16,7,55,8,84.6
267,52958,Niesamowite przygody dziesięciu skarpetek (czterech prawych i sześciu lewych),Spektakle teatralne,http://media.krakow.travel/photos/46436/m.jpg,obrazy_wydarzen_karnet/52958.jpg,Teatr Groteska,ul. Skarbowa 2,Kraków,2025-05-31,,16:00,,#spektakle #teatralne,45,27,5,74,3,99.79999999999998
2335,58313,Zwiedzanie teatru z przewodnikiem,Spacery i zwiedzanie,http://media.krakow.travel/photos/71735/m.jpg,obrazy_wydarzen_karnet/58313.jpg,Teatr im. Juliusza Słowackiego,pl. Świętego Ducha 1,Kraków,2025-05-31,,09:30,,#spacery #zwiedzanie,63,13,11,120,6,129.2
2633,59372,Spotkanie,Spektakle teatralne,http://media.krakow.travel/photos/72824/m.jpg,obrazy_wydarzen_karnet/59372.jpg,Klub Kazimierz,ul. Krakowska 13/18,Kraków,2025-05-31,,19:00,,#spektakle #teatralne,53,28,12,148,6,143.0
2159,45536,Bajka o rybaku i złotej rybce,Muzyka klasyczna,http://media.krakow.travel/photos/57622/m.jpg,obrazy_wydarzen_karnet/45536.jpg,Opera Krakowska,ul. Lubicz 48,Kraków,2025-05-31,,13:30,,#muzyka #klasyczna,57,20,5,38,6,92.4
1194,38419,Spóźnione odwiedziny,Spektakle teatralne,http://media.krakow.travel/photos/47726/m.jpg,obrazy_wydarzen_karnet/38419.jpg,Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin),pl. Świętego Ducha 2,Kraków,2025-05-31,,19:00,,#spektakle #teatralne,60,13,6,48,4,94.0
2967,53088,Schron przeciwczasowy,Spektakle teatralne,http://media.krakow.travel/photos/65993/m.jpg,obrazy_wydarzen_karnet/53088.jpg,Narodowy Stary Teatr – Scena Kameralna,ul. Starowiślna 21,Kraków,2025-05-31,,18:00,,#spektakle #teatralne,46,27,12,61,2,99.60000000000001
1188,52958,Niesamowite przygody dziesięciu skarpetek (czterech prawych i sześciu lewych),Spektakle teatralne,http://media.krakow.travel/photos/46436/m.jpg,obrazy_wydarzen_karnet/52958.jpg,Teatr Groteska,ul. Skarbowa 2,Kraków,2025-05-31,,16:00,,#spektakle #teatralne,44,22,11,46,4,87.4
1871,53439,Przygody Tomka Sawyera,Spektakle teatralne,http://media.krakow.travel/photos/69499/m.jpg,obrazy_wydarzen_karnet/53439.jpg,Teatr Bagatela im. Tadeusza Boya-Żeleńskiego,ul. Karmelicka 6,Kraków,2025-06-01,,11:00,,#spektakle #teatralne,48,21,8,38,7,86.2
2973,49145,Nick Cave. Ballady kochanków i morderców,Spektakle teatralne,http://media.krakow.travel/photos/61674/m.jpg,obrazy_wydarzen_karnet/49145.jpg,Pod Jaszczurami,Rynek Główny 8,Kraków,2025-06-01,,19:00,,#spektakle #teatralne,40,23,12,30,5,78.60000000000001
2971,56500,MET Opera w Kinie Kijów,Pokazy filmowe,http://media.krakow.travel/photos/69867/m.jpg,obrazy_wydarzen_karnet/56500.jpg,Kino Kijów,al. Krasińskiego 34,Kraków,2025-06-01,,18:55,,#pokazy #filmowe,65,19,11,74,5,117.4
744,47990,O mało co...,Spektakle teatralne,http://media.krakow.travel/photos/60364/m.jpg,obrazy_wydarzen_karnet/47990.jpg,Centrum Kongresowe ICE Kraków,ul. Konopnickiej 17,Kraków,2025-06-01,,15:00,,#spektakle #teatralne,50,15,8,120,5,115.8
3952,59719,"Sto nocnych zjaw. Duchy, demony i upiory w sztuce Japonii i Zachodu",Wystawy czasowe,http://media.krakow.travel/photos/73205/m.jpg,obrazy_wydarzen_karnet/59719.jpg,Muzeum Sztuki i Techniki Japońskiej Manggha,ul. Konopnickiej 26,Kraków,2025-06-01,2025-08-31,,,#wystawy #czasowe,69,17,14,11,4,96.2
2513,53166,Gino i Suzi. Kucharze,Spektakle teatralne,http://media.krakow.travel/photos/23339/m.jpg,obrazy_wydarzen_karnet/53166.jpg,Teatr Praska 52,ul. Praska 52,Kraków,2025-06-01,,11:00,,#spektakle #teatralne,50,15,10,40,4,84.8
2964,55695,"Twój problem, nasza głowa – komediowe show improwizowane",Inne przedstawienia,http://media.krakow.travel/photos/68998/m.jpg,obrazy_wydarzen_karnet/55695.jpg,Buda,ul. Czapskich 2,Kraków,2025-06-01,,17:00,,#inne #przedstawienia,45,14,9,11,2,66.4
2625,47990,O mało co...,Spektakle teatralne,http://media.krakow.travel/photos/60364/m.jpg,obrazy_wydarzen_karnet/47990.jpg,Centrum Kongresowe ICE Kraków,ul. Konopnickiej 17,Kraków,2025-06-01,,15:00,,#spektakle #teatralne,52,16,10,71,4,100.0
2959,59525,Bajkowy Dzień Dziecka z CKiS,W gminach Metropolii,http://media.krakow.travel/photos/73017/m.jpg,obrazy_wydarzen_karnet/59525.jpg,Park Miejski im. marsz. Józefa Piłsudskiego,ul. Kublińskiego,Skawina,2025-06-01,,15:00,,#WGminach #Metropolii,34,17,14,26,3,67.0
2694,53439,Przygody Tomka Sawyera,Spektakle teatralne,http://media.krakow.travel/photos/69499/m.jpg,obrazy_wydarzen_karnet/53439.jpg,Teatr Bagatela im. Tadeusza Boya-Żeleńskiego,ul. Karmelicka 6,Kraków,2025-06-01,,11:00,,#spektakle #teatralne,61,27,9,109,5,132.6
2041,56500,MET Opera w Kinie Kijów,Pokazy filmowe,http://media.krakow.travel/photos/69867/m.jpg,obrazy_wydarzen_karnet/56500.jpg,Kino Kijów,al. Krasińskiego 34,Kraków,2025-06-01,,18:55,,#pokazy #filmowe,41,21,9,43,3,80.99999999999999
2970,59834,Monty Python i Święty Graal. Pokazy specjalne w Kinie Agrafka,Pokazy filmowe,http://media.krakow.travel/photos/73342/m.jpg,obrazy_wydarzen_karnet/59834.jpg,Kino Agrafka,ul. Krowoderska 8,Kraków,2025-06-01,,18:00,,#pokazy #filmowe,54,18,11,72,6,105.0
2958,47990,O mało co...,Spektakle teatralne,http://media.krakow.travel/photos/60364/m.jpg,obrazy_wydarzen_karnet/47990.jpg,Centrum Kongresowe ICE Kraków,ul. Konopnickiej 17,Kraków,2025-06-01,,15:00,,#spektakle #teatralne,44,22,10,23,8,78.39999999999999
3497,59719,"Sto nocnych zjaw. Duchy, demony i upiory w sztuce Japonii i Zachodu",Wystawy czasowe,http://media.krakow.travel/photos/73205/m.jpg,obrazy_wydarzen_karnet/59719.jpg,Muzeum Sztuki i Techniki Japońskiej Manggha,ul. Konopnickiej 26,Kraków,2025-06-01,2025-08-31,,,#wystawy #czasowe,47,17,15,53,5,91.8
2951,53439,Przygody Tomka Sawyera,Spektakle teatralne,http://media.krakow.travel/photos/69499/m.jpg,obrazy_wydarzen_karnet/53439.jpg,Teatr Bagatela im. Tadeusza Boya-Żeleńskiego,ul. Karmelicka 6,Kraków,2025-06-01,,11:00,,#spektakle #teatralne,53,13,7,53,6,90.0
2105,56708,Sei Solo – muzyka skrzypcowa J.S. Bacha i jemu współczesnych,Muzyka klasyczna,http://media.krakow.travel/photos/70093/m.jpg,obrazy_wydarzen_karnet/56708.jpg,Aula Florianka,ul. Basztowa 8,Kraków,2025-06-01,,,,#muzyka #klasyczna,39,20,13,64,2,88.80000000000001
2948,59832,Piknik na Dzień Dziecka w Ogrodzie Doświadczeń,Widowiska plenerowe i happeningi,http://media.krakow.travel/photos/73340/m.jpg,obrazy_wydarzen_karnet/59832.jpg,Ogród Doświadczeń im. Stanisława Lema,park Lotników Polskich,al. Pokoju 68,2025-06-01,,10:00,,#widowiska #plenerowe #happeningi,46,16,12,29,7,79.0
2947,59719,"Sto nocnych zjaw. Duchy, demony i upiory w sztuce Japonii i Zachodu",Wystawy czasowe,http://media.krakow.travel/photos/73205/m.jpg,obrazy_wydarzen_karnet/59719.jpg,Muzeum Sztuki i Techniki Japońskiej Manggha,ul. Konopnickiej 26,Kraków,2025-06-01,2025-08-31,,,#wystawy #czasowe,54,18,7,103,4,114.60000000000001
1401,56500,MET Opera w Kinie Kijów,Pokazy filmowe,http://media.krakow.travel/photos/69867/m.jpg,obrazy_wydarzen_karnet/56500.jpg,Kino Kijów,al. Krasińskiego 34,Kraków,2025-06-01,,18:55,,#pokazy #filmowe,50,18,8,61,7,95.00000000000001
2950,53166,Gino i Suzi. Kucharze,Spektakle teatralne,http://media.krakow.travel/photos/23339/m.jpg,obrazy_wydarzen_karnet/53166.jpg,Teatr Praska 52,ul. Praska 52,Kraków,2025-06-01,,11:00,,#spektakle #teatralne,53,27,10,116,3,127.6
2968,56708,Sei Solo – muzyka skrzypcowa J.S. Bacha i jemu współczesnych,Muzyka klasyczna,http://media.krakow.travel/photos/70093/m.jpg,obrazy_wydarzen_karnet/56708.jpg,Aula Florianka,ul. Basztowa 8,Kraków,2025-06-01,,,,#muzyka #klasyczna,54,19,10,13,7,81.80000000000001
869,55695,"Twój problem, nasza głowa – komediowe show improwizowane",Inne przedstawienia,http://media.krakow.travel/photos/68998/m.jpg,obrazy_wydarzen_karnet/55695.jpg,Buda,ul. Czapskich 2,Kraków,2025-06-01,,17:00,,#inne #przedstawienia,64,26,11,53,5,113.6
2169,55695,"Twój problem, nasza głowa – komediowe show improwizowane",Inne przedstawienia,http://media.krakow.travel/photos/68998/m.jpg,obrazy_wydarzen_karnet/55695.jpg,Buda,ul. Czapskich 2,Kraków,2025-06-01,,17:00,,#inne #przedstawienia,47,29,11,41,4,94.0
2944,59684,Projekt 51. Wystawa grafik inspirowanych twórczością Georges’a Pereca,Wystawy czasowe,http://media.krakow.travel/photos/73157/m.jpg,obrazy_wydarzen_karnet/59684.jpg,Lokator,ul. Mostowa 1,Kraków,2025-06-01,2025-06-30,,,#wystawy #czasowe,45,18,7,150,7,125.0
2356,56500,MET Opera w Kinie Kijów,Pokazy filmowe,http://media.krakow.travel/photos/69867/m.jpg,obrazy_wydarzen_karnet/56500.jpg,Kino Kijów,al. Krasińskiego 34,Kraków,2025-06-01,,18:55,,#pokazy #filmowe,57,21,8,75,5,109.6
1542,55695,"Twój problem, nasza głowa – komediowe show improwizowane",Inne przedstawienia,http://media.krakow.travel/photos/68998/m.jpg,obrazy_wydarzen_karnet/55695.jpg,Buda,ul. Czapskich 2,Kraków,2025-06-01,,17:00,,#inne #przedstawienia,51,19,15,47,6,95.2
2952,59835,Czytamy i oglądamy w Agrafce. Felek i Tola ratują las,Pokazy filmowe,http://media.krakow.travel/photos/73329/m.jpg,obrazy_wydarzen_karnet/59835.jpg,Kino Agrafka,ul. Krowoderska 8,Kraków,2025-06-01,,11:00,,#pokazy #filmowe,39,23,13,72,7,95.4
2954,31377,Rytmy Światła Błyski,Spektakle teatralne,http://media.krakow.travel/photos/73231/m.jpg,obrazy_wydarzen_karnet/31377.jpg,Teatr Figurki,ul. Sławkowska 14,Kraków,2025-06-01,,12:00,,#spektakle #teatralne,61,29,16,34,6,108.60000000000001
2956,59836,Mała KIKA. Dzień Dziecka z polską animacją,Pokazy filmowe,http://media.krakow.travel/photos/73343/m.jpg,obrazy_wydarzen_karnet/59836.jpg,Kinokawiarnia KIKA,ul. Krasickiego 18,Kraków,2025-06-01,,12:00,,#pokazy #filmowe,47,16,10,66,8,93.8
1450,53439,Przygody Tomka Sawyera,Spektakle teatralne,http://media.krakow.travel/photos/69499/m.jpg,obrazy_wydarzen_karnet/53439.jpg,Teatr Bagatela im. Tadeusza Boya-Żeleńskiego,ul. Karmelicka 6,Kraków,2025-06-01,,11:00,,#spektakle #teatralne,60,8,8,207,4,154.8
1874,58594,Tysiąclecie Korony Polskiej,Spotkania i slajdowiska,http://media.krakow.travel/photos/72006/m.jpg,obrazy_wydarzen_karnet/58594.jpg,Collegium Novum UJ,ul. Gołębia 24,Kraków,2025-06-02,,16:00,,#spotkania #slajdowiska,53,14,11,30,7,84.2
2983,59741,Komediowy pokaz powarsztatowy. Grupa Janka,Kabaret,http://media.krakow.travel/photos/73232/m.jpg,obrazy_wydarzen_karnet/59741.jpg,Buda,ul. Czapskich 2,Kraków,2025-06-02,,20:00,,#kabaret,52,16,8,53,5,91.8
2981,59712,Książka receptą na życie. Spotkanie z Elżbietą Łapczyńską i Marcinem Wilkiem,Spotkania i wykłady literackie,http://media.krakow.travel/photos/73196/m.jpg,obrazy_wydarzen_karnet/59712.jpg,Antykwariat Abecadło,ul. Kościuszki 18,Kraków,2025-06-02,,18:00,,#spotkania #wykłady #literackie,39,16,9,25,5,68.19999999999999
2982,59766,"Mieszczanie, dekadenci, literaci. O powieści Buddenbrokowie",Spotkania i wykłady literackie,http://media.krakow.travel/photos/73273/m.jpg,obrazy_wydarzen_karnet/59766.jpg,Goethe-Institut Krakau,ul. Podgórska 34,Kraków,2025-06-02,,18:00,,#spotkania #wykłady #literackie,51,13,7,21,5,75.0
2980,58594,Tysiąclecie Korony Polskiej,Spotkania i slajdowiska,http://media.krakow.travel/photos/72006/m.jpg,obrazy_wydarzen_karnet/58594.jpg,Collegium Novum UJ,ul. Gołębia 24,Kraków,2025-06-02,,16:00,,#spotkania #slajdowiska,53,16,9,90,4,108.0
1315,58594,Tysiąclecie Korony Polskiej,Spotkania i slajdowiska,http://media.krakow.travel/photos/72006/m.jpg,obrazy_wydarzen_karnet/58594.jpg,Collegium Novum UJ,ul. Gołębia 24,Kraków,2025-06-02,,16:00,,#spotkania #slajdowiska,55,27,11,17,2,90.39999999999999
2802,58594,Tysiąclecie Korony Polskiej,Spotkania i slajdowiska,http://media.krakow.travel/photos/72006/m.jpg,obrazy_wydarzen_karnet/58594.jpg,Collegium Novum UJ,ul. Gołębia 24,Kraków,2025-06-02,,16:00,,#spotkania #slajdowiska,46,18,9,65,5,92.8
2990,57234,Sługa dwóch panów,Spektakle teatralne,http://media.krakow.travel/photos/70671/m.jpg,obrazy_wydarzen_karnet/57234.jpg,Krakowski Teatr Scena STU,al. Krasińskiego 16,Kraków,2025-06-03,,19:00,,#spektakle #teatralne,53,19,9,86,7,109.4
